Timestamp,URL,Which module bundler did you use?,Check any of the below you used in your app,Would you say your app was optimized for mobile? ðŸ“±,
10/19/2016 12:09:02,https://kupibilet.ru,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",No,
10/19/2016 12:09:43,http://antonioyee.mx/quiniela-app/pronosticos/a8f2113e0c0c17ccae3129ca742752f939c8fd91,Webpack 1,HTTP/2,Yes,
10/19/2016 12:10:12,https://eurogoals.net,Browserify,HTTP/2,Yes,
10/19/2016 12:10:22,https://next.tape.tv,Webpack 1,,Yes,
10/19/2016 12:10:54,https://fabric.io/dashboard,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:11:00,https://dashos.net,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:11:38,https://articles.m3medical.com/dist/bundle.js,Webpack 1,,Yes,
10/19/2016 12:11:43,https://webninja.work,Webpack 1,HTTP/2,No,
10/19/2016 12:11:56,https://picmonkey.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:12:26,https://www.redfin.com/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:13:59,https://housing.com/in/?desktop=false,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 12:14:56,https://www.treebohotels.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2, PRPL, HTML Streaming",No,
10/19/2016 12:15:18,http://shortcut.thisamericanlife.org,Webpack 2,,Yes,
10/19/2016 12:15:20,http://hyundai-ioniq.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:15:34,https://beta.suomi.fi,Webpack 1,,No,
10/19/2016 12:15:38,https://m.skybet.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Web Worker",Yes,
10/19/2016 12:16:22,https://beta.dailyrepublic.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:17:07,hidden,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:17:54,https://letzchange.org,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:20:31,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:20:32,https://cars.blinker.com/,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:20:32,https://demo.primarysite.media,Webpack 1,Tree Shaking,Yes,
10/19/2016 12:20:34,,RollUp,"Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 12:20:39,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",No,
10/19/2016 12:20:57,,Webpack 2,,No,
10/19/2016 12:21:24,http://www.debijenkorf.nl,Webpack 1,,No,
10/19/2016 12:21:45,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:21:51,,Browserify,Service Workers,No,
10/19/2016 12:21:54,Private.tool,Browserify,Tree Shaking,Yes,
10/19/2016 12:22:21,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",No,
10/19/2016 12:22:36,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:22:46,http://tonetemple.com.au,Webpack 2,,Yes,
10/19/2016 12:23:23,,Webpack 1,,No,
10/19/2016 12:24:33,,Webpack 1,,No,
10/19/2016 12:24:56,,Webpack 1,,,
10/19/2016 12:25:07,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:26:34,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2 Server Push",No,
10/19/2016 12:26:37,,Webpack 2,"Tree Shaking, HTTP/2 Server Push",Yes,
10/19/2016 12:27:02,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:11,Itâ€™s an internal tool,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:37,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:58,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:28:00,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:28:15,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:28:55,,Webpack 2,,No,
10/19/2016 12:29:16,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:29:43,,require.js,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:30:41,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:31:08,http://bricolage.io,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:31:25,https://smartpanel.io,Webpack 1,,No,
10/19/2016 12:31:36,https://www.afferentsolutions.com,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:31:51,,RollUp,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 12:32:04,,Webpack 1,,Yes,
10/19/2016 12:32:14,,Webpack 1,,No,
10/19/2016 12:32:31,https://www.reindex.io,Webpack 1,,No,
10/19/2016 12:33:08,https://www.stickermule.com/cart,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:33:09,http://parkary.com,Browserify,,No,
10/19/2016 12:33:39,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:33:57,http://academia.edu,Sprockets,,No,
10/19/2016 12:34:00,http://mozio.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:34:52,http://finanzcheck.de,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:35:23,,Webpack 2,,Yes,
10/19/2016 12:35:27,https://beta.myminutesapp.com,Webpack 2,Service Workers,Yes,
10/19/2016 12:36:16,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:36:55,https://cdn.livechatinc.com/livechat4/open_chat.html?license=123,Webpack 1,,No,
10/19/2016 12:37:12,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:37:35,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:37:55,https://tray.io/,Webpack 2,Tree Shaking,No,
10/19/2016 12:37:57,http://dashboard.twitter.com,Webpack 2,,No,
10/19/2016 12:40:05,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 12:40:50,https://www.nfl.com/now,jspm,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:42:23,http://www.creditkarma.com,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,"logged-in, mobile only"
10/19/2016 12:42:46,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:43:55,,Webpack 1,"Tree Shaking, Service Workers, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 12:44:28,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:44:29,,Browserify,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:46:24,http://bownty.dk,Webpack 2,"Tree Shaking, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 12:46:38,https://discovery.addons.mozilla.org/en-US/firefox/discovery/pane/51.0a2/Darwin/normal,Webpack 1,HTTP/2,Yes,
10/19/2016 12:46:55,,Webpack 1,,No,
10/19/2016 12:46:59,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:47:48,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:48:50,http://www.todaytix.com/,Webpack 1,,No,
10/19/2016 12:49:13,,RollUp,"Service Workers, HTTP/2",Yes,
10/19/2016 12:49:15,https://khanacademy.org,custom python-based bundler,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:49:23,,Webpack 2,Tree Shaking,No,
10/19/2016 12:49:28,,Browserify,,No,
10/19/2016 12:50:04,,Browserify,Tree Shaking,No,
10/19/2016 12:50:17,,Webpack 1,Not code splitting but do use common chunks plugin,No,
10/19/2016 12:51:41,,Webpack 1,,No,
10/19/2016 12:52:33,,Webpack 1,,No,
10/19/2016 12:55:51,,Webpack 1,,Yes,
10/19/2016 12:56:32,http://www.runsknr.fr ,Webpack 1,,Yes,
10/19/2016 12:57:47,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/19/2016 12:58:10,,RollUp,Tree Shaking,Yes,
10/19/2016 12:58:14,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:58:52,http://zigma.pmmi.org/brand/aw,Webpack 1,,No,
10/19/2016 12:59:30,,Browserify,,Yes,
10/19/2016 13:00:00,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:00:24,,RollUp,Tree Shaking,Yes,
10/19/2016 13:01:37,,RollUp,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:01:52,http://kalas.io,Webpack 2,,Yes,
10/19/2016 13:02:59,http://app.binary.com,Webpack 2,"Tree Shaking, HTTP/2",Yes,
10/19/2016 13:03:00,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:03:52,http://app.neverbounce.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 13:04:27,,Browserify,,No,
10/19/2016 13:06:30,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:06:38,,Webpack 1,,,
10/19/2016 13:07:32,http://live.zzish.com,Webpack 2,"Tree Shaking, HTTP/2",No,
10/19/2016 13:08:38,https://www.zalando.de/cart,Webpack 2,"Tree Shaking, AMD",No,
10/19/2016 13:08:44,https://nodesource.com/products/nsolid,Browserify,,No,
10/19/2016 13:10:29,,Browserify,,No,
10/19/2016 13:11:03,http://www.fotocasa.es,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:13:06,"Private, for-pay app",SystemJS,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:13:52,http://www.goibibo.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",No,
10/19/2016 13:14:05,,Webpack 1,,Yes,
10/19/2016 13:14:54,https://s5.sir.sportradar.com/betradar,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/19/2016 13:15:11,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:15:53,,Browserify,Tree Shaking,No,
10/19/2016 13:16:12,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:17:37,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:18:27,,Browserify,,Yes,
10/19/2016 13:18:33,https://soundcloud-redux.herokuapp.com/,Webpack 2,Tree Shaking,No,
10/19/2016 13:18:58,,Browserify,,No,
10/19/2016 13:19:11,,Webpack 1,,No,
10/19/2016 13:20:11,,Browserify,,No,
10/19/2016 13:20:17,https://researchgate.net,Webpack 1,,Yes,
10/19/2016 13:20:26,,Webpack 2,HTTP/2,Yes,
10/19/2016 13:20:42,,Webpack 1,,No,
10/19/2016 13:21:19,https://cian.ru/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:21:21,,Browserify,,Yes,
10/19/2016 13:23:15,,Webpack 2,"Tree Shaking, Service Workers",No,
10/19/2016 13:23:59,http://www.bimmershops.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:25:11,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 13:27:30,,Webpack 1,,No,
10/19/2016 13:28:25,https://vizydrop.com/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:28:36,,Browserify,,Yes,
10/19/2016 13:29:11,http://NFL.com/now,SystemJS,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 13:29:45,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:31:10,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 13:33:02,http://hipstercams.com,Webpack 1,,Yes,
10/19/2016 13:33:50,,Webpack 2,,No,
10/19/2016 13:34:07,,Webpack 1,"Tree Shaking, Server rendering",Yes,
10/19/2016 13:34:17,http://www.cultureclubmagazine.be/editie/5/verhaal/0/,Browserify,,Yes,
10/19/2016 13:34:28,,Browserify,HTTP/2,No,
10/19/2016 13:36:06,http://propertybool.ro,Webpack 1,,No,
10/19/2016 13:37:41,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:37:45,,Webpack 1,,Yes,
10/19/2016 13:38:05,http://chainy.com,Browserify,,No,
10/19/2016 13:43:01,http://sites.spatially.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:43:34,https://www.everydollar.com/app/,Webpack 1,,No,
10/19/2016 13:44:16,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 13:44:34,"Various apps behind a login barrier, all part of https://habitat.inkling.com/",Webpack 1,HTTP/2,No,
10/19/2016 13:46:34,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 13:48:22,https://quizlet.com/create-set,Webpack 1,HTTP/2,No,
10/19/2016 13:48:28,,Webpack 2,,No,
10/19/2016 13:51:48,https://www.zendesk.com/inbox,Webpack 1,Service Workers,No,
10/19/2016 13:57:43,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:58:48,http://superlific.com,Brunch,,Yes,
10/19/2016 13:58:48,http://squarespace.com,Webpack 1,,No,
10/19/2016 13:58:50,,Webpack 1,,No,
10/19/2016 13:59:01,,Webpack 1,,No,
10/19/2016 14:01:33,,RollUp,Tree Shaking,No,
10/19/2016 14:02:46,,Webpack 2,Preact,No,
10/19/2016 14:05:44,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:07:14,http://www.wsj.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 14:08:37,,Webpack 2,Tree Shaking,No,
10/19/2016 14:09:11,https://www.paypal.com/myaccount/transfer/fx/fees,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:10:31,,Browserify,,No,
10/19/2016 14:11:08,,Browserify,,No,
10/19/2016 14:11:12,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/19/2016 14:12:47,http://app.prototypo.io,Webpack 1,,No,
10/19/2016 14:13:37,https://www.lwjgl.org/,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",Yes,
10/19/2016 14:13:59,,Webpack 1,,No,
10/19/2016 14:14:43,http://m.ladbrokes.com.au,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:15:41,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:16:14,,Webpack 1,,No,
10/19/2016 14:17:11,,Webpack 1,Service Workers,No,
10/19/2016 14:18:23,,Browserify,,No,
10/19/2016 14:18:44,http://app.moonmail.io,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 14:20:17,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 14:20:25,,Webpack 2,Tree Shaking,Yes,
10/19/2016 14:23:01,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 14:24:00,They are private,Webpack 1,,No,
10/19/2016 14:25:54,https://www.deezer.com,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:27:39,http://my.es.net,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:29:23,http://hackthenorth.com/application,Webpack 1,,No,
10/19/2016 14:29:41,https://beepboophq.com,Webpack 1,,Yes,
10/19/2016 14:33:08,,RollUp,Tree Shaking,No,
10/19/2016 14:34:22,http://app.adphorus.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:34:43,,Webpack 2,,,
10/19/2016 14:35:26,https://app.itsquiz.com/,Webpack 1,,No,
10/19/2016 14:44:34,,Bundler,,Yes,
10/19/2016 14:47:39,https://malbernaz.me,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 14:51:02,,Webpack 1,,No,
10/19/2016 14:51:13,,Webpack 1,,No,
10/19/2016 14:51:36,,Require.js,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 14:52:33,https://ga-dev-tools.appspot.com/query-explorer/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 14:52:54,http://worldif.economist.com,Browserify,,No,
10/19/2016 14:53:22,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 14:53:59,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 14:54:18,,Browserify,Preact,No,
10/19/2016 14:57:48,,Webpack 1,,No,
10/19/2016 15:05:33,https://sideway.com,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 15:11:07,,RollUp,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 15:16:59,http://app.xrespond.com,Webpack 1,,No,
10/19/2016 15:17:19,,Webpack 2,,Yes,
10/19/2016 15:17:28,http://factorial.co,Webpack 1,,No,
10/19/2016 15:21:55,http://yachtweek.com/browse,Webpack 1,,Yes,
10/19/2016 15:23:38,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 15:24:37,,Webpack 1,HTTP/2,Yes,
10/19/2016 15:25:12,https://js.driftt.com/dist/assets/widget-2b9e0198af8565d5e224-prod.js,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 15:27:05,http://rally1.rallydev.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 15:29:16,,RollUp,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 15:33:03,http://theguardian.com ,RollUp,"Tree Shaking, Preact",No,
10/19/2016 15:33:47,http://www.complex.com,Webpack 1,,No,
10/19/2016 15:38:03,http://demark.com,Webpack 2,Tree Shaking,No,
10/19/2016 15:38:06,https://staxapp.io/,Webpack 1,,No,
10/19/2016 15:40:57,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 15:45:48,,Browserify,,No,
10/19/2016 15:46:11,http://booking.sloepdelen.nl,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 15:46:22,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 15:50:54,,Webpack 1,,No,
10/19/2016 15:53:02,,Webpack 1,,Yes,
10/19/2016 16:02:33,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 16:05:32,,Webpack 1,,No,
10/19/2016 16:10:48,,Webpack 2,,No,
10/19/2016 16:14:38,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 16:17:06,,Webpack 2,,No,
10/19/2016 16:18:32,,RollUp,,,
10/19/2016 16:20:23,https://pageproof.com,Webpack 1,Server side rendering,Yes,
10/19/2016 16:22:57,,Webpack 1,,No,
10/19/2016 16:24:14,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 16:30:47,,Webpack 2,HTTP/2 Server Push,Yes,
10/19/2016 16:31:52,,Webpack 1,,Yes,
10/19/2016 16:34:11,http://speakaboos.com/dashboard,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
