Timestamp,URL,Which module bundler did you use?,Check any of the below you used in your app,Would you say your app was optimized for mobile? ðŸ“±,
10/19/2016 16:37:13,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 16:47:06,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 16:55:23,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 16:59:38,http://m.v.6.cn,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 17:02:42,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",Yes,
10/19/2016 17:08:37,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 17:20:08,http://palmer.net,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 17:25:24,,Browserify,,No,
10/19/2016 17:28:06,https://platform.centro.net/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 17:52:56,http://app.canopytax.com,Jspm,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",No,
10/19/2016 17:57:04,http://www.rexruiterbox.com/app,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 18:09:20,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 18:11:39,,Browserify,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 18:24:30,http://yelpreservations.com,Webpack 1,,No,
10/19/2016 18:39:50,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 18:58:01,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 18:58:45,,Webpack 1,Tree Shaking,No,
10/19/2016 19:18:04,,Webpack 1,,Yes,
10/19/2016 19:22:50,,,,,
10/19/2016 19:34:00,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 19:34:36,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 19:43:45,,also used webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 19:51:44,,Webpack 2,Tree Shaking,Yes,
10/19/2016 19:52:58,,Webpack 1,,No,
10/19/2016 19:59:17,,,,Yes,
10/19/2016 20:14:39,,Browserify,,No,
10/19/2016 20:32:28,http://housing.com,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2, Preact",Yes,
10/19/2016 20:37:01,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 20:54:05,Internal,Webpack 1,,No,
10/19/2016 20:55:49,http://Cc.mindresearch.org,Browserify,"Service Workers, HTTP/2",No,
10/19/2016 21:01:52,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/19/2016 21:02:13,https://ello.co,Webpack 1,,Yes,
10/19/2016 21:14:44,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 21:21:16,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 21:24:34,,Webpack 2,,No,
10/19/2016 21:26:43,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 21:45:17,,Webpack 2,,,
10/19/2016 21:59:56,http://mobile.twitter.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",No,
10/19/2016 22:04:56,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 22:05:52,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2, HTTP/2 Server Push",No,
10/19/2016 22:08:57,private,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 22:12:28,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 22:38:37,https://makeapoll.tech,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/19/2016 22:48:36,http://wehkamp.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/19/2016 22:51:15,http://latzee.com/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 22:54:32,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",No,
10/19/2016 23:02:12,,Browserify,HTTP/2,No,
10/19/2016 23:02:28,http://www.90min.com,Webpack 1,,No,
10/19/2016 23:29:06,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 23:33:21,http://mobil.dynamo-dresden.de,Browserify,,Yes,
10/19/2016 23:34:02,https://geschaeftsbericht2015.dpdhl.com,Browserify,,Yes,
10/19/2016 23:34:31,http://www.lindsaywilsonare.org/dashboard,RollUp,Tree Shaking,Yes,
10/19/2016 23:53:43,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 0:00:17,http://www.weekendesk.fr,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 0:30:51,http://miDrive.com,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/20/2016 0:30:57,http://my.programme-tv.net/,Webpack 2,,No,
10/20/2016 0:40:59,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 0:48:26,,Webpack 2,Tree Shaking,Yes,
10/20/2016 1:01:22,,Browserify,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/20/2016 1:03:52,https://beta.tix.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 1:16:56,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/20/2016 1:29:25,N/A,Webpack 1,,No,
10/20/2016 1:31:50,,Browserify,Service Workers,Yes,
10/20/2016 1:36:15,http://mundoestudiante.es,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/20/2016 1:55:42,https://shop.lego.com/en-GB/,Webpack 1,HTTP/2,Yes,
10/20/2016 2:05:21,,Webpack 1,,No,
10/20/2016 2:09:03,https://shelterwelfare.nl/,Webpack 2,,Yes,
10/20/2016 2:59:15,http://P1.neustar.biz/manage,Browserify,,No,
10/20/2016 3:01:14,,,,,
10/20/2016 3:20:29,http://Goskive.com,Webpack 1,,No,
10/20/2016 3:42:11,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 3:45:40,,Browserify,,No,
10/20/2016 3:46:42,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 3:48:23,Behind firewall :(,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 3:51:20,,Webpack 1,,No,
10/20/2016 4:42:20,http://tracker.toptal.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 4:52:04,http://m.solt.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/20/2016 4:57:00,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/20/2016 5:24:52,http://Events.bizzabo.com,Webpack 1,,Yes,
10/20/2016 6:03:07,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 6:29:51,,Webpack 1,,,
10/20/2016 6:46:02,,Browserify,,No,
10/20/2016 6:57:13,,Browserify,,No,
10/20/2016 7:34:58,,Browserify,"Service Workers, HTTP/2",No,
10/20/2016 7:53:58,https://www.puregym.com/join,Webpack 1,React Router,Yes,
10/20/2016 8:00:20,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/20/2016 8:12:22,,Webpack 2,Tree Shaking,No,
10/20/2016 8:29:57,,brunch,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 8:31:14,https://cart.godaddy.com/upp/cart,Webpack 1,HTTP/2,Yes,
10/20/2016 8:59:43,,Webpack 1,,Yes,
10/20/2016 9:03:23,,No module bundler was used,,No,
10/20/2016 9:05:57,,Webpack 2,Service Workers,Yes,
10/20/2016 9:06:00,http://www.redmart.com,Webpack 1,,No,
10/20/2016 9:06:12,,Webpack 1,,No,
10/20/2016 9:08:31,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 9:26:09,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/20/2016 9:38:24,,Webpack 1,,No,
10/20/2016 9:59:47,,Webpack 1,,Yes,
10/20/2016 10:18:28,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 10:29:23,,Browserify,,No,
10/20/2016 10:42:11,https://midi2piano.com?tool=vue.js&not=react,Webpack 2,"Tree Shaking, HTTP/2",No,
10/20/2016 10:46:51,,Webpack 1,Service Workers,Yes,
10/20/2016 10:53:09,,,"Preact, asjasfasfafsafkhdflkhidsfiasdufouasdofuosdaufo",Yes,
10/20/2016 11:05:06,,Webpack 1,Service Workers,Yes,
10/20/2016 11:48:36,,Meteor ,,No,
10/20/2016 12:03:11,http://www.bbc.co.uk/bbcthree,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 12:50:22,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 13:30:32,https://dbeats.s01.opsway-dev.com/_assets/main.js?d84251bed61d60127f1b,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/20/2016 13:41:05,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, react-lite",Yes,
10/20/2016 13:53:34,,Webpack 2,Tree Shaking,Yes,
10/20/2016 14:02:17,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 14:05:46,Not public,Require JS (yeah.... i know),,Yes,
10/20/2016 14:16:52,,RollUp,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/20/2016 14:43:43,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/20/2016 15:20:03,under dev,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Preact",Yes,
10/20/2016 16:10:00,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Not using pre-transpiled code ",Yes,
10/20/2016 16:18:02,http://www.eventfly.com.br,Webpack 1,,No,
10/20/2016 16:18:05,http://keen.io/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 16:31:05,http://wellapp.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/20/2016 16:47:09,,"RollUp, Webpack 2, gulp","Tree Shaking, Service Workers, HTTP/2, HTTP/2 Server Push",Yes,
10/20/2016 18:00:06,http://aikenorganics.com,Rollup and browserify,Tree Shaking,Yes,
10/20/2016 18:49:48,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/20/2016 22:26:01,http://widget.spreaker.com/player?user_id=marco,Webpack 1,HTTP/2,Yes,
10/20/2016 23:29:58,,Browserify,Service Workers,Yes,
10/21/2016 0:01:26,http://configurator.scramblerducati.com,Browserify,,Yes,
10/21/2016 0:34:04,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 2:36:53,https://www.getable.com,Webpack 2,Server-side render,Yes,
10/21/2016 6:08:18,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",Yes,
10/21/2016 7:13:29,,Browserify,,No,
10/21/2016 10:12:16,http://app.adroll.com,Browserify,,No,
10/21/2016 10:13:00,,Webpack 1,Service Workers,Yes,
10/21/2016 10:13:04,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/21/2016 10:19:40,http://www.lds.org,Webpack 1,,No,
10/21/2016 10:26:37,,Webpack 1,,No,
10/21/2016 10:27:34,,Webpack 1,,No,
10/21/2016 10:37:48,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 10:39:10,http://taskworld.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/21/2016 10:40:07,http://be-music.surge.sh,Webpack 1,"Preact, Prerendering",Yes,
10/21/2016 10:45:46,http://qbo.intuit.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 10:46:57,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 10:50:02,https://sodaphonic.com,Webpack 1,,Yes,
10/21/2016 10:54:01,,Browserify,,Yes,
10/21/2016 10:55:03,http://insights.foundationmedicine.com,Webpack 1,,No,
10/21/2016 11:03:12,http://pennyclerk.com,Webpack 1,,Yes,
10/21/2016 11:10:47,https://beta.ubixr.com,Webpack 1,,No,
10/21/2016 11:15:06,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 11:15:44,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 11:18:34,http://nextqueue.com,Browserify,,Yes,
10/21/2016 11:19:10,https://v.vungle.com,Browserify,,No,
10/21/2016 11:24:57,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/21/2016 11:26:05,,Webpack 1,,No,
10/21/2016 11:32:19,,Webpack 1,,No,
10/21/2016 11:38:41,http://minijuegos.dgx.com.co/,meteorjs,,No,
10/21/2016 11:49:31,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 11:50:25,,Webpack 2,,No,
10/21/2016 12:40:15,,Browserify,,No,
10/21/2016 12:45:55,https://data1850.nz/chart/,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 12:47:42,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Preact",Yes,
10/21/2016 13:08:48,http://backpackbang.com/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 13:27:13,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/21/2016 14:23:26,,Webpack 2,HTTP/2 Server Push,Yes,
10/21/2016 14:33:10,https://plaaant.com,Webpack 1,,Yes,
10/21/2016 14:41:56,,Webpack 2,,Yes,
10/21/2016 15:01:09,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 15:23:01,,Webpack 1,,Yes,
10/21/2016 15:59:38,,Webpack 1,,No,
10/21/2016 16:20:21,http://dcos.io,Webpack 1,,No,
10/21/2016 16:46:21,https://halversondm.com,Webpack 1,,Yes,
10/21/2016 16:55:37,,Gulp,"HTTP/2, HTTP/2 Server Push",Yes,
10/21/2016 17:01:32,,Webpack 1,,No,
10/21/2016 17:54:34,,Webpack 1,,No,
10/21/2016 18:11:14,https://coinfc.com,Webpack 2,Tree Shaking,Yes,
10/21/2016 18:40:48,https://www.graphiq.com/search,Webpack 1,HTTP/2,No,
10/21/2016 19:14:09,https://www.auction.com/residential,Webpack 1,,Yes,
10/21/2016 21:03:57,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/21/2016 22:03:02,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",No,
10/21/2016 23:40:20,https://my.dudamobile.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/22/2016 0:36:49,,Webpack 1,HTTP/2,No,
10/22/2016 0:48:01,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/22/2016 1:04:55,,Webpack 1,,Yes,
10/22/2016 2:00:22,,Webpack 2,Tree Shaking,No,
10/22/2016 2:13:59,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/22/2016 2:26:49,,Webpack 1,,No,
10/22/2016 3:34:40,http://jura-online.de/lexicon,Webpack 1,,No,
10/22/2016 3:35:01,https://www.bearch.de/,Webpack 1,,No,
10/22/2016 4:41:20,,Webpack 2,,No,
10/22/2016 4:56:12,http://beta.readma.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/22/2016 5:33:58,http://www.npr.org/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/22/2016 5:35:11,,Webpack 2,"Tree Shaking, Service Workers",Yes,
10/22/2016 6:20:11,http://svt.se/nyheter,Webpack 1,,Yes,
10/22/2016 8:00:14,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),No,
10/22/2016 10:01:29,,Webpack 2,Tree Shaking,Yes,
10/22/2016 10:32:37,https://playify.it,Browserify,,Yes,
10/22/2016 11:53:42,http://blinddate.eo.nl/en,Webpack 1,,No,
10/22/2016 12:09:43,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/22/2016 14:16:15,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/22/2016 15:03:32,,Webpack 1,,Yes,
10/22/2016 16:22:19,,Browserify,,Yes,
10/23/2016 2:21:39,,Webpack 1,HTTP/2,Yes,
10/23/2016 3:57:56,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/23/2016 6:48:08,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/23/2016 7:15:04,http://ourhome.in.ua,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,
10/23/2016 7:22:22,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/23/2016 7:51:59,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/23/2016 10:26:18,,Webpack 1,,No,
10/23/2016 10:54:49,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/23/2016 16:57:13,https://www.alexandriarepository.org/,Browserify,,Yes,
10/23/2016 19:12:28,,Browserify,,No,
10/23/2016 22:37:26,,Webpack 1,,No,
10/23/2016 23:33:45,http://www.edmission.us,Browserify,,Yes,
10/23/2016 23:49:47,,JSPM,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/24/2016 0:29:48,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/24/2016 0:47:07,https://www.cityspotters.com,Browserify,,Yes,
10/24/2016 1:02:56,,No module bundler was used,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/24/2016 1:39:35,http://www.bdswiss.com,Browserify,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/24/2016 3:20:55,http://hipit.net/,Webpack 1,,No,
10/24/2016 3:41:02,,Browserify,Tree Shaking,No,
10/24/2016 4:36:38,https://hack.ernews.info,Browserify,"Service Workers, HTTP/2",Yes,
10/24/2016 6:41:11,https://company.underdog.io,Browserify,,No,
10/24/2016 9:29:07,,Browserify,Service Workers,No,
10/24/2016 10:56:28,,Browserify,,Yes,
10/24/2016 11:11:40,SaaS platform,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/24/2016 11:20:29,,Webpack 1,,No,
10/24/2016 13:04:03,,Webpack 1,,No,
10/24/2016 14:03:01,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/24/2016 23:53:14,,No module bundler was used,,No,
10/25/2016 0:23:01,http://beta.fxempire.com,Webpack 1,,No,
10/25/2016 12:08:59,,Webpack 2,Tree Shaking,No,
10/25/2016 12:20:55,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Preact",Yes,
10/25/2016 18:10:41,https://landlinetexting.att.com/admin/,Webpack 1,,No,
10/25/2016 18:31:03,-,Webpack 1,Preact,Yes,
10/25/2016 23:51:54,http://unsilo.com/cases/showcase,Webpack 1,,No,
10/26/2016 0:59:29,http://abof.com,Webpack 1,,Yes,
10/26/2016 1:09:47,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/26/2016 9:32:30,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",Yes,
10/26/2016 13:34:02,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/27/2016 2:09:02,http://chiarezza.it/preventivo-assicurazione/rc-auto?visitor_cj=new,Webpack 1,,Yes,
10/27/2016 7:15:12,,Webpack 1,,No,
10/27/2016 21:54:14,,RollUp,,Yes,
10/28/2016 4:58:21,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/30/2016 11:33:35,,,,,
10/31/2016 9:55:05,auctionata.com,Webpack 1,Service Workers,No,
10/31/2016 11:33:01,,Webpack 2,Tree Shaking,No,
10/31/2016 17:54:34,,Webpack 1,HTTP/2,No,
10/31/2016 20:18:45,,Webpack 1,,,
11/1/2016 5:50:45,NDA,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
11/1/2016 11:05:11,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
11/3/2016 13:24:14,,Browserify,Tree Shaking,No,
11/3/2016 15:03:24,https://www.ihg.com/trip-extras/us/en/car/add,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
11/6/2016 15:21:58,,Browserify,Code-splitting (splitting your bundle into smaller chunks),No,